source_id,mode,page_count,candidates,selected,selected_labels,warning
2022-jour-2-g1-22pycj2g11pdf-100113,legacy_common_abc,16,6,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A – DÉTERMINATION DU DIAMETRE DE JUPITER (5 points) | EXERCICE B – MESURE DE LA MASSE DE JUPITER ET DU SOLEIL (5 points) | EXERCICE C – Capacité thermique massique du cuivre (5 points),
2023-jour-1-lr-23-pycj1lr1pdf-105864,numbered,11,4,3,EXERCICE I - L’EAU DE BOISSON DES POULES (9 points) | EXERCICE II - LE « TWEENER-LOB » OU LE COUP ENTRE LES JAMBES (5 points) | EXERCICE III - EXTRACTION DU GAZ DE SCHISTE PAR ÉLECTRO-FRACTURATION (6 points),
2023-jour-1-nc-23-pycj1nc1-sujetpdf-105252,numbered,15,5,3,"EXERCICE I - UN POLYMÈRE BIODÉGRADABLE, LE PLA (9 points) | EXERCICE II - L’OBSERVATION DE SATURNE (5 points) | EXERCICE III - CAPTEUR D’ARROSAGE CAPACITIF (6 points)",
2023-jour-2-an-23-pycj2an1pdf-105903,numbered,12,14,3,Exercice 1 | Exercice 2 | Exercice 3,
2023-jour-2-lr-23-pycj2lr1pdf-105867,numbered,14,4,3,EXERCICE I - MOUVEMENT D’UNE GOUTTE D’ENCRE DANS UNE | EXERCICE II – L’ACIDE BUTYRIQUE (5 points) | EXERCICE III : ANALYSE D’UN SOL (4 points),
2023-jour-2-nc-23-pycj2nc1-sujetpdf-105255,numbered,10,3,3,EXERCICE I – LE MIEL ET LES ABEILLES (9 points) | EXERCICE II - FÊTE DE LA MUSIQUE (5 points) | EXERCICE III - TIR À L’ARC À LA PERCHE VERTICALE (6 points),
2024-jour-1-an-24-pycj1an1v1pdf-106644,numbered,12,13,3,Exercice 1 | Exercice 2 | Exercice 3,
2024-jour-1-g1-24-pycj1g11v1pdf-106425-1,numbered,12,14,3,Exercice 1 | Exercice 2 | Exercice 3,
2024-jour-1-ja-24-pycj1ja1v1pdf-106725,numbered,14,4,3,Exercice 1 – Ne jamais mélanger eau de Javel et acide | Exercice 2 – Observation distante (6 points) | Exercice 3 – Au bonheur des hippocampes (5 points),
2024-jour-1-me-24-pycj1me1v1-0pdf-106227-1,numbered,14,3,3,Exercice 1 - Vers le bleu de thymol (9 points) | Exercice 2 - Observation d’un avion en vol (5 points) | Exercice 3 - Accéléromètre d’un mobile multifonction (6 points),
2024-jour-1-me-24-pycj1me3pdf-110643,numbered,14,3,3,Exercice 1 - L’acide citrique comme produit ménager (9 points) | Exercice 2 - La découverte de Neptune (5 points) | Exercice 3 - Étude d’une bouteille isotherme (6 points),
2024-jour-1-po-24-pycj1po1v1pdf-106518-1,numbered,20,4,3,EXERCICE 1 - COLORATION CAPILLAIRE (9 POINTS) | EXERCICE 2 - LA PROTONTHÉRAPIE SAUVE LA VUE (5 POINTS) | EXERCICE 3 – UNE JEUNE ASTRONOME (6 POINTS),
2024-jour-2-an-24-pycj2an1v1pdf-106671,numbered,16,16,3,Exercice 1 | Exercice 2 | Exercice 3,
2024-jour-2-g1-24-pycj2g11v1pdf-106464,numbered,10,12,3,Exercice 1 | Exercice 2 | Exercice 3,
2024-jour-2-ja-24-pycj2ja1v1pdf-106728,numbered,13,3,3,Exercice 1 – Tissage d’une voile de bateau (11 points) | Exercice 2 – Contrôle d’un médicament (5 points) | Exercice 3 – Santé alimentaire – ne pas abuser des nitrites,
2024-jour-2-me-24-pycj2me1v1-0pdf-106263-1,numbered,12,3,3,Exercice 1 - Autour du basket-ball (11 points) | Exercice 2 - Un champignon parfumé (4 points) | Exercice 3 - Batterie Lithium - Soufre (5 points),
2024-jour-2-me-24-pycj2me3pdf-110646,numbered,12,3,3,Exercice 1 - Vol en montgolfière (11 points) | Exercice 2 - Traitement contre le varroa (4 points) | Exercice 3 - Suivi cinétique d’une décoloration (5 points),
2024-jour-2-po-24-pycj2po1v1pdf-106551-1,numbered,12,3,3,EXERCICE 1 - SUIVI CINÉTIQUE PAR CONDUCTIMÉTRIE DE L’HYDROLYSE | EXERCICE 2 - LA MASSE DE LA TERRE (6 POINTS) | EXERCICE 3 - ÉTUDE DE LA CALÉFACTION (5 POINTS),
2025-jour-1-an-25-pycj1an1v1pdf-113058,numbered,16,15,3,Exercice 1 | Exercice 2 | Exercice 3,
2025-jour-1-g1-25-pycj1g11v1-123764,numbered,13,15,3,Exercice 1 | Exercice 2 | Exercice 3,
2025-jour-1-ja-25-pycj1ja1v1pdf-113127,numbered,11,3,3,Exercice 1 – Installation sanitaire (11 points) | Exercice 2 – Pollution ammoniacale (5 points) | Exercice 3 – Arôme de poire (4 points),
2025-jour-1-me-25-pycj1me1v1pdf-112653,numbered,12,3,3,Exercice 1 - Un emballage intelligent au rayon poissonnerie (9 points) | Exercice 2 - Datation d’une roche (6 points) | Exercice 3 - Viscosimètre à chute de bille (5 points),
2025-jour-1-me-25-pycj1me3v2pdf-120459,numbered,12,3,3,Exercice 1 - La physique au service du vigneron (11 points) | Exercice 2 - Étude d’une lessive « multi-usages » (4 points) | Exercice 3 - Traitement de surface d’une pièce de jeu d’échecs (5 points),
2025-jour-1-nc-25-pycj1nc1-sujetv1-123719,numbered,12,4,3,"EXERCICE 1 – DE L’ASPIRINE POUR FAVORISER L’ÉCOULEMENT SANGUIN (9 points) | EXERCICE 2 – DES ÉCOULEMENTS SANGUINS (5 points) | EXERCICE 3 – MÉTIS, UN SATELLITE EN SURSIS ? (6 points)",
2025-jour-1-po-25-pycj1po1v1pdf-112986,numbered,12,3,3,EXERCICE 1 - AUTOUR DE LA GLACE (9 POINTS) | EXERCICE 2 - LE MÖLKKY (6 POINTS) | EXERCICE 3 - PERFORMANCES DES BOLOMÈTRES DE PLANCK (5 POINTS),
2025-jour-2-g1-25-pycj2g11v1-123761,numbered,15,17,3,Exercice 1 | Exercice 2 | Exercice 3,
2025-jour-2-ja-25-pycj2ja1v1pdf-113130,numbered,10,5,3,Exercice 1 – Batteries au lithium (9 points) | Exercice 2 – Slam dunk au golf (6 points) | Exercice 3 – Paiement sans contact (5 points),
2025-jour-2-me-25-pycj2me1v2pdf-112656,numbered,16,3,3,Exercice 1 - Mesure de l’épaisseur d’un film alimentaire (11 points) | Exercice 2 - Eau de Quinton (4 points) | Exercice 3 - Un parfum de rose (5 points),
2025-jour-2-me-25-pycj2me3v1pdf-120462,numbered,14,3,3,Exercice 1 - Les pluies acides (9 points) | Exercice 2 - La couleur des scarabées (5 points) | Exercice 3 - Le réfrigérateur (6 points),
2025-jour-2-nc-25-pycj2nc1-sujetv1-123716,numbered,12,3,3,EXERCICE I – SYNTHÈSE D’UN ÉDULCORANT : L’ASPARTAME (9 points) | EXERCICE II – LA PHYSIQUE S’INVITE SUR UN TERRAIN DE RUGBY (6 points) | EXERCICE III – INSTALLATION D’UN PANNEAU ROUTIER (5 points),
2025-jour-2-po-25-pycj2po1v1pdf-112989,numbered,11,3,3,EXERCICE 1 - EXPLORATION DU CIEL PROFOND PAR LE TÉLESCOPE JAMES | EXERCICE 2 - ÉTUDE D’UN PRODUIT MÉNAGER « FAIT MAISON » (5 POINTS) | EXERCICE 3 - ÉTUDE D’UN SOIN CAPILLAIRE (4 POINTS),
2022-jour-1-me-baccalaur-g-n-ral-2022-physique-chimie-1142450pdf-96402,legacy_common_abc,14,4,4,EXERCICE I commun à tous les candidats (10 points) | Exercice A - LA PHYSIQUE DU JONGLAGE (5 points) | Exercice B - REFROIDISSEMENT D’UN FER À CHEVAL (5 points) | Exercice C – DÉFIBRILLATEUR CARDIAQUE (5 points),
2022-jour-1-lr-baccalaur-g-n-ral-2022-physique-chimie-mayotte-santorin,legacy_common_abc,15,4,4,EXERCICE 1 commun à tous les candidats (10 points) | EXERCICE A. OBSERVATION D’UN SATELLITE | EXERCICE B. UNE TABLE DE TENNIS DE TABLE CONNECTÉE | EXERCICE C. RAFRAÎCHIR UNE BOISSON,
